"Words","Count"
Oh,1
say,1
can,1
you,1
see,1
by,1
the,1
dawn's,1
early,1
light,1
What,1
so,1
proudly,1
we,2
hailed,1
at,1
the,1
twilight's,1
last,1
gleaming,1
Whose,1
broad,1
stripes,1
and,1
bright,1
stars,1
through,1
the,1
perilous,1
fight,1
O'er,2
the,1
ramparts,1
watched,1
were,1
so,1
gallantly,1
streaming,1
And,1
the,1
rockets',1
red,1
glare,1
the,1
bombs,1
bursting,1
in,1
air,1
Gave,1
proof,1
through,1
the,1
night,1
that,1
our,1
flag,1
was,1
still,1
there,1
O,1
say,1
does,1
that,1
star-spangled,1
banner,1
yet,1
wave,1
the,1
land,1
of,1
the,1
free,1
and,1
the,1
home,1
of,1
the,1
brave,1